# This is the metadata of the tracks of albums released in 2025 - Loaded into a csv file from JSON tracked using spotify api 

Track Name,Album Name,Artists,Popularity,Duration (min),Release Date
Sawadeeka,Vidaamuyarchi (Original Motion Picture Soundtrack),"Anirudh Ravichander, Anthony Daasan, Arivu",50,3.4068833333333335,2025-02-17
Thaniye,Vidaamuyarchi (Original Motion Picture Soundtrack),Anirudh Ravichander,37,3.3217333333333334,2025-02-17
Pathikichu,Vidaamuyarchi (Original Motion Picture Soundtrack),"Anirudh Ravichander, Yogi Sekar, Amogh Balaji",52,3.48025,2025-02-17
Perseverance Theme,Vidaamuyarchi (Original Motion Picture Soundtrack),"Anirudh Ravichander, Amogh Balaji",48,2.9057833333333334,2025-02-17
Yendi Vittu Pona,Dragon (Original Motion Picture Soundtrack),"Leon James, Silambarasan TR, KO. Sesha",50,4.310333333333333,2025-02-21
Rise Of Dragon,Dragon (Original Motion Picture Soundtrack),"Leon James, Anirudh Ravichander, Nadisha Thomas, El Fé Choir, Vignesh Shivan",58,3.5006833333333334,2025-02-21
Vazhithunaiye,Dragon (Original Motion Picture Soundtrack),"Leon James, Sid Sriram, Sanjana Kalmanje, Vignesh Shivan",69,3.6380833333333333,2025-02-21
Maatikkinaaru Orutharu,Dragon (Original Motion Picture Soundtrack),"Leon James, Gana Apellow",54,3.3333333333333335,2025-02-21
Maname Maname,Dragon (Original Motion Picture Soundtrack),"Leon James, Pradeep Kumar, KO. Sesha",47,4.176466666666666,2025-02-21
Iraivaa,Dragon (Original Motion Picture Soundtrack),"Leon James, Yuvan Shankar Raja, KO. Sesha",54,3.321833333333333,2025-02-21
Cash Cash,Mask,"G. V. Prakash, Suresh Peters, Karunas, Kaber Vasuki",26,3.4674,2025-11-27
Ethical Spy,Mask,"G. V. Prakash, Kaber Vasuki",21,2.73395,2025-11-27
Kannumuzhi,Mask,"G. V. Prakash, Anthony Daasan, Sublahshini, Karumathur Manimaran",42,3.75085,2025-11-27
Giru Giru,Mask,"G. V. Prakash, Gana Balachander, Kaber Vasuki",30,3.28795,2025-11-27
Kanavugal Indri,Mask,"G. V. Prakash, Sublahshini, Kaber Vasuki",22,1.6014166666666667,2025-11-27
Idhudhan Engal Ulagam,Mask,"G. V. Prakash, Andrea Jeremiah, Ananthu, Smith Asher, Arulparan Vaaheesan, Kaber Vasuki",33,3.735116666666667,2025-11-27
Vetri Veerane,Mask,"G. V. Prakash, Anthony Daasan, Vaaheesan Rasaiya",32,2.818216666666667,2025-11-27
Coolie Disco,Coolie (Original Motion Picture Soundtrack),Anirudh Ravichander,62,2.15475,2025-08-02
Chikitu,Coolie (Original Motion Picture Soundtrack),"Anirudh Ravichander, T. Rajendar, Arivu",59,3.60135,2025-08-02
Uyirnaadi Nanbane,Coolie (Original Motion Picture Soundtrack),"Anirudh Ravichander, Sai Smriti",50,3.8145,2025-08-02
